NO,freq,y_true,SMILES
1118,3.14,2.72,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(/C(=C\c6ccccc6)c6ccc(-c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2C1=O
865,3.38,2.44,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5cc(-c6ccc(-c7ccc(-c8ccccc8)cc7)cc6)cc(-c6ccc(*)cc6)n5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
2327,4.0,4.6,*c1ccc(C2(C)CC(C)(C)c3ccc(N4C(=O)c5ccc6c7c(ccc(c57)C4=O)C(=O)N(*)C6=O)cc32)cc1
189,3.0,2.65,*c1ccc(Oc2ccc([C@]34CC5CC6C3C[C@H]3CC4[C@H](C5)[C@@]6(c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(*)c(=O)c8cc7c6=O)cc5)cc4)C3)cc2)cc1
488,4.0,3.4,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5cc(-c6ccccc6)c(Oc6ccc(*)cc6C(F)(F)F)cc5-c5ccccc5)c(C(F)(F)F)c3)C4=O)cc2C1=O
211,3.0,2.39,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
2329,4.0,3.53,*c1ccc(C2(C)CC(C)(C)c3ccc(N4C(=O)c5ccc(Oc6ccc(C(C)(C)c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc32)cc1
938,3.88,3.49,*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1
604,3.08,3.03,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(-c6ccc(*)cc6)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
275,3.0,2.85,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccc(*)cc7)c(-c7cc(C(F)(F)F)cc(C(F)(F)F)c7)c6)cc5-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)cc3)C4=O)cc2C1=O
176,3.08,2.74,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(*)c(C)c5)cc3C)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
1725,3.0,2.95,*N1C(=O)c2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C6(c7ccc(Oc8ccc(*)cc8C(F)(F)F)cc7)c7ccccc7-c7ccccc76)cc5)c(C(F)(F)F)c3)C4=O)cc2C1=O
1164,3.08,2.8,*N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(/C(=C\c6ccccc6)c6ccc(-c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2C1=O
1447,3.46,2.67,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(*)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
2244,3.13,3.6,*n1c(=O)c2cc3c(=O)n(-c4ccc(-c5cccc(-c6ccc(*)cc6)c5)cc4)c(=O)c3cc2c1=O
194,3.0,2.64,*N1C(=O)c2ccc(Oc3ccc(Oc4cccc5c4C(=O)N(c4ccc(Oc6ccc([C@]78C[C@H]9CC%10C7CC7C[C@H]8C(C9)[C@@]%10(c8ccc(Oc9ccc(*)cc9)cc8)C7)cc6)cc4)C5=O)cc3)cc2C1=O
1712,4.0,2.96,*c1ccc(Oc2ccc(C(=O)c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2C)c(C(F)(F)F)c1
489,4.0,3.16,*c1ccc(Oc2cc(-c3ccccc3)c(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)cc2-c2ccccc2)c(C(F)(F)F)c1
2247,3.3,3.6,*n1c(=O)c2cc3c(=O)n(-c4ccc(-c5cccc(-c6ccc(*)cc6)c5)cc4)c(=O)c3cc2c1=O
469,3.0,3.66,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5cc(-c6ccccc6)c(Oc6ccc(*)cc6)cc5-c5ccccc5)cc3)C4=O)cc2C1=O
241,3.0,2.68,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3c(F)c(*)c(C(F)(F)F)c(F)c3F)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
127,3.0,2.61,*N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C(c6ccc(Oc7ccc(*)cc7C(F)(F)F)cc6)(c6cc(C(F)(F)F)cc(C(F)(F)F)c6)C(F)(F)F)cc5)c(C(F)(F)F)c3)C4=O)cc2C1=O
217,4.0,3.15,*n1c(=O)c2cc3c(=O)n(-c4ccc(Oc5cc(Oc6ccc(*)cc6C(F)(F)F)cc6ccccc56)c(C(F)(F)F)c4)c(=O)c3cc2c1=O
