NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
37,*n1c(=O)c2cc3c(=O)n(-c4ccc(P(=O)(c5ccccc5)c5ccc(*)cc5)cc4)c(=O)c3cc2c1=O,345,0.87443143,0.9119218,0.59451413,0.72486687,0.86221254
40,*c1ccc(P(C)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=C)N(*)C6=O)cc4C3=O)cc2)cc1,311,0.18388328,0.32972077,0.053980872,0.23559712,0.1554229
41,*N1C(O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(P(=O)(c6ccccc6)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1O,220,-1.3959862,-1.1088963,-1.5309885,-1.6292251,-0.9738588
42,*N1C(O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(P(=O)(c6ccccc6)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2C1O,241,-0.5626523,-0.6568061,-0.80660284,-0.8722547,-0.8597395
43,*N1C(O)c2cc3c(cc2C1O)C(=O)N(c1ccc(Oc2ccc(P(=O)(c4ccccc4)c4ccc(Oc5ccc(*)cc5)cc4)cc2)cc1)C3=O,254,-0.7488121,-0.72041506,-0.8962876,-1.0712095,-0.9285088
44,*c1ccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(O)N(*)C8O)cc6C5=O)cc4)cc3)cc2)cc1,232,-1.2390041,-1.1408362,-1.2994696,-1.4220698,-1.3501072
45,*N1C(O)c2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(P(=O)(c6ccccc6)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2C1O,239,-1.0233959,-0.7194304,-0.69890743,-1.0505904,-0.89595795
46,*N1C(O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(P(=O)(c6ccccc6)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2C1O,240,-1.1206776,-1.0653471,-1.1138308,-1.3372406,-1.3224984
47,*N1C(O)c2cc3c(cc2C1O)C(C(F)(F)F)(C(F)(F)F)c1cc2c(cc1O3)C(=O)N(c1ccc(-c3ccc(*)cc3C(F)(F)F)c(C(F)(F)F)c1)C2=O,420,0.9994802,2.0672898,1.9212958,1.88906,1.6894869
48,*N1C(O)c2cc3c(cc2C1O)C(C(F)(F)F)(C(F)(F)F)c1cc2c(cc1O3)C(=O)N(c1ccc(-c3ccc(*)cc3OC(F)(F)F)c(OC(F)(F)F)c1)C2=O,375,1.3574617,1.572228,1.1161829,1.1739427,1.1689315
49,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(O)N(*)C4O)cc2OC(F)(F)C(F)F)c(OC(F)(F)C(F)F)c1,363,1.1658431,0.73892254,0.907006,0.5726996,0.9454474
50,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(O)N(*)C4O)cc2OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)c(OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)c1,350,0.91447514,0.84790105,0.6549473,0.67623085,0.6139228
52,*N1C(O)c2cc3c(cc2C1O)C(c1ccccc1)(C(F)(F)F)c1cc2c(cc1O3)C(=O)N(c1ccc(-c3ccc(*)cc3OC(F)(F)F)c(OC(F)(F)F)c1)C2=O,400,0.99990696,0.9501659,0.7295215,0.5809536,0.9323066
55,*N1C(O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(*)cc5OC(F)(F)F)c(OC(F)(F)F)c3)C4=O)cc2C1O,335,0.81298536,0.7687361,0.55292666,0.58429426,0.6296179
56,*N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)N(c3ccc(*)cc3)C4=O)cc2C1=O,366,0.5188822,1.0084597,0.91583675,1.0773683,1.0975106
58,*N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)cc2C1=O,318,-0.52465695,-0.02992212,-0.5381025,-0.12816475,-0.27438524
59,*N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)N(c3c(F)c(*)c(F)c(F)c3F)C4=O)cc2C1=O,317,0.16368231,0.68786025,0.21093726,0.3446836,0.30086252
